borough,code,library,year,loans,digital,members,books,music,audiobooks,movies,videogames,all.others,librarians,others,staff.total,surface,hours
Ahuntsic-Cartierville,a78,Ahuntsic,2018,448121,24449.6406,19379,122418,2035,1295,7466,605,11401,3.681318681,18.25054945,21.93186813,2033.5,53
Ahuntsic-Cartierville,a79,Cartierville,2018,123574,6867.737508,10509,61941,547,763,4161,281,5752,3,6.873626374,9.873626374,1129,53
Ahuntsic-Cartierville,a80,Salaberry,2018,80105,295.6675139,2376,28862,0,48,1342,173,1563,1,5.480769231,6.480769231,283.74,57
Ahuntsic-Cartierville,a81,Livromobile,2018,15297,,,5230,0,2,118,3,123,,,,,12
Anjou,j15,Haut-Anjou,2018,35453,2684.385986,3854,15468,0,44,754,0,798,0.4,3.228571429,3.628571429,425.32,53.5
Anjou,j14,Jean-Corbeil,2018,176847,8462.966885,13395,96738,4028,808,4322,271,9429,4,10.51428571,14.51428571,2188.42,53.5
Côte-des-Neiges–Notre-Dame-de-Grâce,c56,Benny,2018,413424,4487.270222,11576,121121,3499,2359,6201,614,12673,5.8,20.77857143,26.57857143,2336.56,53
Côte-des-Neiges–Notre-Dame-de-Grâce,c57,Côte-des-Neiges,2018,234436,6503.310107,9131,105558,11,1526,5308,326,7171,2.25,18.38571429,20.63571429,1662.23,53
Côte-des-Neiges–Notre-Dame-de-Grâce,c58,Interculturelle,2018,198601,4098.089262,11170,108375,3108,2811,6753,687,13359,4.6,7.617032967,12.21703297,2422.4,53
Côte-des-Neiges–Notre-Dame-de-Grâce,c59,Notre-Dame-de-Grâce,2018,97256,3801.04655,7480,46660,12,870,3221,18,4121,2,8.514835165,10.51483516,707.25,53
L’Île-Bizard–Sainte-Geneviève,i90,L'Île-Bizard,2018,93294,4616.538809,4035,54704,4930,396,3706,0,9032,1,5.021978022,6.021978022,646.81,60
Lachine,b69,Saint-Pierre,2018,21500,1252.80514,2796,19615,656,43,1397,187,2283,0,0,0,546.1,53
Lachine,b68,Saul-Bellow,2018,224409,9184.945698,12113,89792,3793,1164,4438,406,9801,4,5.310164835,9.310164835,1791.9,65
LaSalle,l71,L'Octogone,2018,402343,12261.26304,29113,183252,4706,1856,12586,608,19756,7,24.53901099,31.53901099,2467,65
Mercier–Hochelaga-Maisonneuve,h26,Hochelaga,2018,58095,49.5071186,727,26354,326,77,1027,0,1430,1.118681319,0.771428571,1.89010989,371.8,46
Mercier–Hochelaga-Maisonneuve,h27,Langelier,2018,231013,12218.63191,9327,52358,2168,824,6146,715,9853,3.221428571,11.92285714,15.14428571,814.55,53
Mercier–Hochelaga-Maisonneuve,h29,Maisonneuve,2018,190994,9623.633777,8401,53227,4009,293,7992,0,12294,1.514285714,3,4.514285714,1182.2,53
Mercier–Hochelaga-Maisonneuve,h28,Mercier,2018,187422,15538.35925,10109,68066,2798,475,4738,533,8544,2.946703297,10.22912088,13.17582418,1465.5,53
Montréal-Nord,m18,Belleville,2018,47706,3548.010166,5063,36853,1133,133,2358,0,3624,0,4.195054945,4.195054945,281.4,57
Montréal-Nord,m17,Henri-Bourassa,2018,148488,3052.93898,6294,70660,2712,667,4437,300,8116,4,21.66373626,25.66373626,1317.5,65
Montréal-Nord,m20,Maison culturelle et communautaire,2018,114692,2875.538472,6660,52274,1325,428,3385,661,5799,2.998351648,11.1456044,14.14395604,701.3,69
Montréal-Nord,m19,Yves-Ryan,2018,62388,2302.081015,3952,42008,1482,320,2551,264,4617,0,7.267032967,7.267032967,585.4,57
Outremont,o45,Robert-Bourassa,2018,155566,8564.731518,7557,70956,2888,866,2330,172,6256,2.79793956,10.01510989,12.81304945,1492.2,54
Plateau-Mont-Royal,y47,Mordecai-Richler,2018,148004,3487.501466,5196,70159,2332,822,4506,428,8088,2,11.41620879,13.41620879,1348.7,54
Plateau-Mont-Royal,y48,Plateau Mont-Royal,2018,205575,13412.30355,14238,58750,1,690,3993,384,5068,2,10.97225275,12.97225275,790,52
Pierrefonds-Roxboro,p87,Pierrefonds,2018,63478,5070.354063,6690,89673,936,1861,3193,320,6310,4.473461538,19.09304396,23.56650549,1501.46,51
Pierrefonds-Roxboro,p88,Roxboro,2018,98040,2926.420788,4679,43270,903,637,3118,255,4913,1.341868132,4.258527473,5.600395604,526.01,66
Pierrefonds-Roxboro,p88,Centre communautaire de L'Est,2018,23039,,,23317,618,301,1758,77,2754,,,,,36
Rosemont–La Petite-Patrie,r39,La Petite Patrie,2018,170181,7783.619202,7146,69339,3379,946,4653,304,9282,2.771428571,7.584384615,10.35581319,1245.1,53
Rosemont–La Petite-Patrie,r41,Marc-Favreau,2018,412537,6822.355983,8905,126625,4357,1589,6644,836,13426,5.271428571,19.28406593,24.55549451,2659.64,53
Rosemont–La Petite-Patrie,r40,Rosemont,2018,292067,28230.05918,18501,80485,4718,921,6596,478,12713,2.727653846,8.944873626,11.67252747,863.05,53
Rivière-des-Prairies–Pointe-aux-Trembles,t10,Pointe-aux-Trembles,2018,170975,16730.65569,9353,66951,3,576,2069,367,3015,4,9.568175824,13.56817582,1501.2,53
Rivière-des-Prairies–Pointe-aux-Trembles,t11,Rivière-des-Prairies,2018,140859,8174.17536,9816,89094,8,660,2641,427,3736,4,10.95714286,14.95714286,2286.5,53
Saint-Laurent,s85,Du Boisé,2018,419133,7002.506886,22261,142328,3296,1899,9659,1178,16032,5.8,31.9,37.7,2817.1,62
Saint-Laurent,s84,Vieux-Saint-Laurent,2018,230721,5267.00734,17044,91185,6221,1587,10777,991,19576,6.514285714,19.55714286,26.07142857,1995.6,60
Saint-Laurent,s86,Chameran,2018,6231,,,2556,0,23,162,0,185,,,,,7
Saint-Léonard,n22,Saint-Léonard,2018,271491,5573.676436,18267,142804,4401,820,5018,771,11010,6,16.65103846,22.65103846,4491.94,57
Sud-Ouest,g63,Georges-Vanier,2018,89395,2267.701071,3226,38409,1489,169,3848,128,5634,1.47839011,6.985164835,8.463554945,738.66,53
Sud-Ouest,g64,Marie-Uguay,2018,128799,5979.359769,6803,55653,3472,628,4828,348,9276,2.004532967,8.166164835,10.1706978,873.34,53
Sud-Ouest,g66,Saint-Charles,2018,100180,2388.718472,3183,41717,2198,146,4005,98,6447,2.011813187,7.118153846,9.129967033,558.4,53
Sud-Ouest,g65,Saint-Henri,2018,71951,1658.488473,2963,40257,1235,195,3217,213,4860,1.487774725,5.761302198,7.249076923,1141.3,53
Verdun,v76,Île des Sœurs,2018,120168,7138.651463,6874,44838,1348,449,3557,379,5733,2.364285714,5.891758242,8.256043956,507.14,53
Verdun,v75,Jacqueline-De Repentigny,2018,178922,9384.34937,12328,120114,5314,1027,4886,460,11687,2.666483516,13.32197802,15.98846154,1848.7,53
Ville-Marie,f53,Frontenac,2018,145616,2286.95384,3854,67449,1681,577,3374,578,6210,3.2,8.357142857,11.55714286,1430.8,54
Ville-Marie,f52,Père-Ambroise,2018,111682,2839.783331,4562,59369,1921,555,4097,559,7132,2.8,8.756043956,11.55604396,1114.88,53
Villeray–Saint-Michel–Parc-Extension,x33,Le Prévost,2018,278062,10513.38671,9443,83779,624,833,3435,280,5172,2.907142857,13.32142857,16.22857143,1031.37,53
Villeray–Saint-Michel–Parc-Extension,x34,Parc-Extension,2018,207265,5636.935532,9795,92482,2299,1476,3723,399,7897,4.607142857,12.45714286,17.06428571,1882.6,53
Villeray–Saint-Michel–Parc-Extension,x35,Saint-Michel,2018,164510,6512.936491,10610,84886,2212,644,2711,245,5812,4.077472527,10.42307692,14.50054945,1394.3,53
Villeray–Saint-Michel–Parc-Extension,x32,Roulivre,2018,13012,,,6085,10,16,295,0,321,,,,,10
Ahuntsic-Cartierville,a78,Ahuntsic,2017,464164,18629,19599,121637,2189,1313,7377,624,11503,3.737912088,18.98626374,22.72417582,2033.5,53
Ahuntsic-Cartierville,a79,Cartierville,2017,133581,5232,10359,59545,640,818,3753,292,5503,3.016483516,6.71978022,9.736263736,1129,53
